,id,Title,Writer,Readers,Total Comments,Genre,Grade,Days of Week,Total Episodes,Description
3,58289261,남주들의 집착보다 내 탈영이 빠르겠다,아듀,29.7만명,1.4만,기다무소설로판,전체이용가,"월, 화, 수, 토, 일 연재 | 독점",97,"""너는 오래 전 죽은 그 애를 참 닮았군.""의 '그 애' 역할로 빙의했다.

군부를 배경으로 한 역하렘 로판,
첫사랑이자 옛 동료가 죽은 뒤 미쳐버린 남주들이 여주에게 집착하는 내용의 소설  
<네 명의 미친놈들이 나한테 집착한다>, 통칭 <네미집> 속 바로 그 그 첫사랑으로.
 
하지만 빙의자의 특권도 있는데 설마 내가 죽겠어?
잘 살아남아서 여주 대신 내가 집착을 받게 되는 로맨스 전개겠지 뭐.
개인적으로 집착남은 내 취향이 아니라 아쉽군.
그런데...

""야, 머리 박아.""
""낙오되는 새끼는 뒤진다!""
“이것들이 빠져 가지고! 정신 안 차리냐!”
로맨스는 쥐뿔도 없고, 나를 기다리는 건 리얼 K-군대였다, XX!

확 탈영해버리기 전에 남주들이 차라리 내게 집착해줬음 했지만
이 아포칼립스 세계는 번번이 내 기대를 깨버린다.
설상가상으로 피폐한 상황에 남주들도 점차 미쳐가는 것 같은데.
 
이 부조리한 착취의 굴레를 끊을 단 하나의 방법은 무엇?
물론, 혁명뿐이다! 적폐 제국놈들아!



아듀 장편 로맨스판타지 소설 <남주들의 집착보다 내 탈영이 빠르겠다>"
4,55275635,마법황가 무공천재,주문향,31.7만명,"7,712",기다무소설판타지,전체이용가,완결,298,"[카카오 독점 연재]

혈마(血魔) 천무정.
피도 눈물도 없는 무림 최강의 존재.

비극적인 최후를 맞이한 직후,
마법사가 지배하는 나라 아인츠란트 황국에서 눈을 뜨다.

마법황가 아인츠란트의 망나니 막내아들 슈레인으로서,
무공이 없는 세계를 지배하라!"
5,52716578,불패검선,적하,30.8만명,"6,674",기다무소설무협,전체이용가,완결,253,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는,
어느 날 노도사가 그려 주고 간 산수화를 보고 바보가 된다.

그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만.

스무 살이 되던 날!
각성과 함께,
산수화 속 절대무공을 꽃피운다!"
6,58404017,7번의 결혼이 예정되어 있습니다,커피바닐라,32.3만명,"5,112",기다무소설로판,전체이용가,"월, 화, 수, 목, 토, 일 연재 | 독점",94,"아가사 노빌리스는 몇 세기 만에 나온 어마어마한 자산의 상속녀였다.

결혼을 6번 했고 이혼도 6번 했지만 여전히 대륙 최고의 신붓감을 꼽으라면 단연 그녀의 이름이 튀어나오는 것이다.

-누가 그녀의 7번째 남편이 될 것이냐!

세간의 관심이 한데 모인 가운데 아가사가 선택한 사람은 10년 전쟁의 주역인 에녹 아라투스 후작이었다.

20살. 재력 빼고는 모든 것을 갖춘 유서 깊은 가문의 가주.

그러나 아주 잘생겼고 뛰어나며 인성까지 제대로 갖춘 사내였다.

“딱 세 가지만 지켜 주시면 돼요. 암살자에게서 날 지켜 줄 것. 아내로서 존중해 줄 것. 따로 저택을 만들어서 나가서 살 것.”

“……지금까지 어떤 결혼 생활을 해 왔는지 모르겠군.”

천문학적인 재산 때문에 온갖 암투에 휘말려 왔던 아가사 노빌리스는 이제 제대로 된 평범한 생활을 영위할 수 있을 것인가."
7,47050646,템빨,박새날,281.8만명,54.9만,기다무소설판타지,전체이용가,"월, 수, 금, 토 연재",1581,공사장에서 벽돌 나르고 삽질하는 불운한 인생의 신영우. 그런데 심지어 게임 속에서 노가다라니. 하지만 불운한 인생이라 한탄하던 그에게도 행운이 찾아오는 것인가. 퀘스트 수행을 위하여 북쪽 끝의 동굴로 향한 '그리드'. 그곳에서 '파그마의 기서'를 발견한 그는 레전드리 직업으로 전직하게 되는데…….
8,58215605,힘법사 아카데미로 가다,그림자꾼,23.4만명,"4,880",기다무소설판타지,전체이용가,연재 중 | 독점,116,"오픈월드 게임 <판타지 월드>.
그 안에서 정점을 찍었던 워로드, 아몬.

새 플레이를 위해 마법사를 선택한 그는 어느새 게임 속으로 들어가 있었다.
그것도 게임 속 유명 발암캐이자 망나니인 제국의 4황자로.

그의 눈앞에 <판타지 월드> 게임 시스템과 삭제되었을 워로드의 특성이 보인다?

…아무래도 '아몬'의 특성을 가지고 빙의한 모양이다."
9,54883051,창천무신,담호,67.7만명,5.4만,기다무소설무협,전체이용가,"월, 화, 수, 목, 금 연재",676,"[독점연재]

천하를 독패(獨覇)하던 최강의 무인.
세상을 발아래 두고, 이윽고 등선마저 이루어 선계에 오르다.
하지만…….

-저런 혈성은 받아서는 안 돼요. 돌려보내세요.

신선들의 방해를 받아 다시 세상으로 추락했다.

“야이 미친 신선 새끼들아아아아!”

눈을 떠 보니 어느새 시간은 육십 년이 훌쩍 지났고.

“내가 누구라고?”
“남궁세가 둘째 아드님이십니다.”

남궁세가?
내가?
남궁세가아아?
……좋아, 다 넘어가겠어. 부자니까.
근데 내 몸이 왜 이 모양이냐?
이 신선 놈들이 대체 나한테 무슨 짓을 한 거야?

“한 번 한 등선, 두 번은 못 하겠어?”

두고 보자, 반드시 등선해서 모조리 박살을 내 주마!"
10,56325530,데뷔 못 하면 죽는 병 걸림,백덕수,78.4만명,45.6만,기다무소설현판,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",333,"4년차 공시생,
낯선 몸에 빙의해 3년 전으로 돌아왔다.

그리고 그의 눈앞에 나타난 갑작스러운 상태창의 협박!

[돌발!]
[상태이상 : '데뷔가 아니면 죽음을' 발생!]

돌연사 위협 때문에
팔자에도 없던 아이돌에 도전하게 된
주인공의 대환장 일지.

※특이사항 : 빙의 전 아이돌 데이터 찍어다 팔았었음"
11,58270223,나혼자 만렙 악마 소환함,송수하,15만명,"2,446",기다무소설판타지,전체이용가,매일 연재 | 독점,112,"[독점 연재]

눈을 뜨고보니 게임 속 세상.
심지어 악역이 되야 할 소년이 되었다.

흑마법을 익히고 악마를 소환해 부리는 악역이.

그렇다면?

“이왕 게임 속 세상에 온 거 즐겨야겠지?”

흑마법도, 나를 유혹하는 악마도.
그리고 악역으로서 살아야 했던 운명도.
몽땅 내 마음대로 즐긴다.

목표는 하나.
나만을 위한 엔딩을 위해!"
12,57850880,이 3세는 악역입니다,리샤,55.1만명,4만,기다무소설로판,전체이용가,"월, 화, 수, 목, 금 연재 | 독점",151,"‘빙의물에 빙의를 시키는 게 어디 있어...!!’

<빙의했는데 흑막의 손녀였다>라는 빙의물 소설의 원작 여주, 즉 진짜 여주를 괴롭히는 악녀로 빙의해버렸다!
주인공에게 온갖 나쁜 짓을 하다가 엄청나게 고통받는 악녀 역할이라니?
나도 모르는 새에 내 인생 장르가 피폐물로 결정 되다니!
이렇게 살 수는 없어!

‘살려 주세요!’

그런데 여주가 나타나기도 전에 눈 앞에서 알짱거리는 것들이 많다.

“더러운 피. 맞지? 뭐 하나 받아먹으려고 아양 떨고 다닌다면서. 거지새끼처럼.”
“…….”

‘다 죽었어.’

난이도 최강이라는 피폐 소설 악역에 빙의된 3세, 에릴로트.
내 살 길 찾으면서 원작 내용을 이용해 가며 열심히 살아가는데.

‘으응?’

흑막 공작이라는 할아버지가 왜 나한테 잘해주시는 거죠?
할아버지에게 미움 받아서 멀리 있다는 아빠는 또 왜 갑자기 나타났고? 오빠들은 또 왜 이렇게 귀찮게 굴어?

게다가.

‘이게 뭐야.’

[에릴로트 지구 뿌셔ㅠㅠㅠㅠㅠㅠ]
[아ㅠㅠ 빙의 전에 모르는 척했다고 욕해서 미안해ㅠㅠㅠ 이런 사정이 있었구나ㅠㅠㅠ]
[피폐물 인정ㅠㅠ 이 집안 사정 거의 아포칼립스급 아닙니까]
ㄴㄹㅇㅋㅋㅠㅠ
[떡밥이 여기 깔려있었네... 쿠키가 독인 거죠?]

나는 홀로그램처럼 눈앞에 뜬 창을 쳐다봤다.
‘이거 코코넛페이지 댓글 창인 거 같은데.’

대체 이게 어떻게 된 거죠?"
